Idade;Homens;Mulheres
Menos de 1 ano;654.2;553.1
1 a 4 anos;256.1;188.0
5 a 9 anos;108.0;80.0
10 a 14 anos;105.0;81.0
15 a 19 anos;350.1;147.0
20 a 24 anos;475.1;140.0
25 a 29 anos;455.1;144.0
30 a 34 anos;380.1;160.0
35 a 39 anos;345.1;184.0
40 a 44 anos;329.1;207.0
45 a 49 anos;351.1;229.0
50 a 54 anos;414.1;287.0
55 a 59 anos;468.1;309.1
60 a 64 anos;557.1;359.1
65 a 69 anos;525.1;428.1
70 a 74 anos;661.2;478.1
75 a 79 anos;673.2;467.1
80 a 84 anos;500.1;522.1
85 a 89 anos;420.1;452.1
90 a 94 anos;180.0;240.0
95 a 99 anos;100.0;198.0
100 anos ou mais;32.0;76.0
