Idade;Homens;Mulheres
Menos de 1 ano;359.6;278.3
1 a 4 anos;120.2;96.1
5 a 9 anos;60.1;42.1
10 a 14 anos;74.1;62.1
15 a 19 anos;267.5;98.1
20 a 24 anos;436.8;102.1
25 a 29 anos;519.9;175.2
30 a 34 anos;382.7;176.2
35 a 39 anos;398.7;206.3
40 a 44 anos;334.6;157.2
45 a 49 anos;346.6;239.3
50 a 54 anos;417.7;244.3
55 a 59 anos;516.9;325.4
60 a 64 anos;489.9;308.4
65 a 69 anos;529.9;372.5
70 a 74 anos;546.0;400.5
75 a 79 anos;544.0;408.5
80 a 84 anos;450.8;405.5
85 a 89 anos;329.6;336.4
90 a 94 anos;189.3;225.3
95 a 99 anos;79.1;110.1
100 anos ou mais;26.0;33.0
