Idade;Homens;Mulheres;Ignorados
Menos de 1 ano;359;278;0
1 a 4 anos;120;96;0
5 a 9 anos;60;42;0
10 a 14 anos;74;62;0
15 a 19 anos;267;98;0
20 a 24 anos;436;102;0
25 a 29 anos;519;175;0
30 a 34 anos;382;176;0
35 a 39 anos;398;206;0
40 a 44 anos;334;157;0
45 a 49 anos;346;239;0
50 a 54 anos;417;244;0
55 a 59 anos;516;325;0
60 a 64 anos;489;308;0
65 a 69 anos;529;372;0
70 a 74 anos;545;400;0
75 a 79 anos;543;408;0
80 a 84 anos;450;405;0
85 a 89 anos;329;336;0
90 a 94 anos;189;225;0
95 a 99 anos;79;110;0
100 anos ou mais;26;33;0
Idade ignorada;13;6;0
