Idade;Homens;Mulheres
Menos de 1 ano;661.6;518.4
1 a 4 anos;158.4;140.1
5 a 9 anos;73.2;59.0
10 a 14 anos;77.2;64.0
15 a 19 anos;291.7;98.1
20 a 24 anos;475.2;99.1
25 a 29 anos;440.1;124.1
30 a 34 anos;374.9;160.1
35 a 39 anos;365.9;145.1
40 a 44 anos;356.9;179.1
45 a 49 anos;390.0;231.1
50 a 54 anos;448.1;272.2
55 a 59 anos;491.2;284.2
60 a 64 anos;546.4;321.2
65 a 69 anos;517.3;349.2
70 a 74 anos;609.5;455.3
75 a 79 anos;598.5;439.3
80 a 84 anos;1188.9;1292.7
85 a 89 anos;0.0;0.0
90 a 94 anos;0.0;0.0
95 a 99 anos;0.0;0.0
100 anos ou mais;0.0;0.0
