Idade;Homens;Mulheres;Ignorados
Menos de 1 ano;36368;36618;0
1 a 4 anos;151798;146582;0
5 a 9 anos;195995;188287;0
10 a 14 anos;203418;197279;0
15 a 19 anos;182546;182215;0
20 a 24 anos;170242;169198;0
25 a 29 anos;161273;162253;0
30 a 34 anos;142710;143038;0
35 a 39 anos;116794;115961;0
40 a 44 anos;98058;93727;0
45 a 49 anos;80209;77188;0
50 a 54 anos;64117;61295;0
55 a 59 anos;47832;48812;0
60 a 64 anos;35546;35018;0
65 a 69 anos;24907;25659;0
70 a 74 anos;17698;18746;0
75 a 79 anos;11799;13293;0
80 a 84 anos;6812;8358;0
85 a 89 anos;3002;4083;0
90 a 94 anos;1478;2072;0
95 a 99 anos;468;972;0
100 anos ou mais;108;155;0
Idade ignorada;0;0;0
