"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.108752083313702,0.108752083313702,0.117851897251163,1,0.922786020847272,0.881233958905739,56.0397161585991,56.0397161585991
"1",1,0.0331760407440303,0.0295680771970168,0.00848832029947928,0.891247916686298,3.48338377368143,0.971829629624789,55.1169301377518,61.84242241225
"5",5,0.011121126119193,0.00958285016932624,0.00223791369005362,0.861679839489281,4.28204635948076,0.991566896425727,51.6335463640704,59.9219617284694
"10",10,0.00711456939014335,0.00606230315764906,0.00142778977053925,0.852096989319955,4.24593541902142,0.990455239640395,47.3515000045896,55.5705519419569
"15",15,0.0121963320338577,0.0103185199445961,0.00245363054733654,0.846034686162306,4.2054089829445,0.985195153963671,43.1055645855682,50.9501150373623
"20",20,0.0176656272431467,0.0147634502734737,0.0035633408007863,0.83571616621771,4.14314855043221,0.982216318862083,38.9001556026237,46.5470899990822
"25",25,0.0179138727741668,0.0147064425070317,0.00361384880816514,0.820952715944236,4.0694681177043,0.981176959542707,34.7570070521915,42.3374043074028
"30",30,0.019825937891047,0.0159845885420541,0.00400328463704503,0.806246273437204,3.99286835468509,0.977979529352003,30.6875389344872,38.0622397219394
"35",35,0.0244459689126429,0.0193187125817996,0.00494724507823372,0.79026168489515,3.90494351427943,0.971743045245612,26.6946705798021,33.7795328940234
"40",40,0.0324889786748085,0.0250471497869819,0.00660073223844959,0.770942972313351,3.794601702078,0.96129098798595,22.7897270655227,29.5608467603486
"45",45,0.0456736556225713,0.034067788928384,0.00933948394371643,0.745895822526369,3.64771641920372,0.944403052297491,18.9951253634447,25.4661908403075
"50",50,0.0668616824024733,0.0475940199076056,0.0138157331998709,0.711828033597985,3.44491452021167,0.919106318499431,15.3474089442409,21.5605570725648
"55",55,0.097184227145944,0.0645530692645479,0.020387909372629,0.664234013690379,3.16624270221698,0.883076963781788,11.9024944240293,17.9191281667449
"60",60,0.140608610253643,0.0843203041913083,0.0301570882601131,0.599680944425832,2.79603599207002,0.83017447301976,8.73625172181229,14.5681662941231
"65",65,0.20665584686102,0.106502289546503,0.0458824723371181,0.515360640234523,2.32119770626101,0.751405539129422,5.94021572974228,11.5263279070732
"70",70,0.305862795590877,0.125054558142113,0.071698983915684,0.40885835068802,1.74416081389903,0.63464451396919,3.61901802348127,8.85152037959171
"75",75,0.439876955707694,0.124838748283392,0.112780067525309,0.283803792545907,1.10692209202106,0.491342512513543,1.87485720958224,6.60617390896552
"80",80,0.589107650230535,0.0936475236942836,0.172184835639348,0.158965044262516,0.543877881850374,0.340878510284509,0.767935117561178,4.83084266181819
"85",85,0.75123148303976,0.049068577844953,0.264668618367492,0.0653175205682321,0.18539628214185,0.192444927878928,0.224057235710804,3.43027772275508
"90",90,0.886523401632719,0.0144050679759766,0.403745618227528,0.0162489427232791,0.0356785741458096,0.0771419002333952,0.0386609535689538,2.37929040845015
"95",95,1,0.00184387474730249,0.632319380383172,0.00184387474730249,0.00291604971238608,0,0.00298237942314415,1.6174522849273
