"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.0135989676294873,0.0135989676294873,0.0137768010879456,1,0.987091817808571,0.985919232728706,77.4988723655109,77.4988723655109
"1",1,0.00123959095175928,0.0012227337945325,0.000310141394219198,0.986401032370513,3.94250434583496,0.998942462408145,76.5117805477024,77.5666063161245
"5",5,0.000556821216763417,0.00054856817894199,0.000111398359286163,0.98517829857598,4.92438293038781,0.999495206825119,72.5692762018674,73.6610584162909
"10",10,0.000529605382149156,0.000521465204642344,0.000105948009535149,0.984629730397038,4.92189713549405,0.999292433723349,67.6448932714796,68.7008437620533
"15",15,0.00090045940293253,0.000886149540896112,0.000180169753649929,0.984108265192396,4.91841456706383,0.998897863946552,62.7229961359855,63.7358696745861
"20",20,0.00132081600392347,0.00129865550576399,0.000264330784303208,0.9832221156515,4.91299380504366,0.998543539117824,57.8045815689217,58.7909696585897
"25",25,0.00160360384906836,0.00157461624018022,0.000320967828331243,0.981923460145736,4.90583822175225,0.998129499712864,52.8915877638781,53.8652857484716
"30",30,0.00216010250226992,0.00211765399081781,0.00043246890549314,0.980348843905556,4.89666184994982,0.997303535266653,47.9857495421258,48.9476270007706
"35",35,0.00327878168131017,0.0032074065055787,0.000656790002355567,0.978231189914738,4.8834581739603,0.995735625920347,43.089087692176,44.0479593539965
"40",40,0.00533561153159136,0.00520234814233374,0.00106986232379927,0.975023783409159,4.86263328150419,0.99267673284913,38.2056295182157,39.1843052121561
"45",45,0.00948811150693145,0.00920177391962394,0.00190630417012177,0.969821435266825,4.82702291892703,0.98761644390296,33.3429962367115,34.380551949275
"50",50,0.0155503344827667,0.0149379570446711,0.00313345551157343,0.960619661347202,4.7672472098288,0.980264969603996,28.5159733177845,29.6849777963037
"55",55,0.024340060730686,0.0230179501146223,0.00492555857567212,0.94568170430253,4.67316544123756,0.967294477439138,23.7487261079557,25.1128112132307
"60",60,0.0419941930131352,0.0387465197795909,0.00857161854026619,0.922663754187908,4.52032712346852,0.941317478156147,19.0755606667181,20.6744445960247
"65",65,0.0775540388723429,0.0685513515572364,0.0161105376612036,0.883917234408317,4.25506292830422,0.889876424639785,14.5552335432496,16.466738034577
"70",70,0.148373690830823,0.120978845416147,0.0319502122016115,0.815365882851081,3.78648018525665,0.795662283840603,10.3001706149454,12.6325749354742
"75",75,0.264507077754427,0.183670286102468,0.0609641386291979,0.694387037434933,3.0127594719185,0.675994972550358,6.51369042968871,9.38048966718949
"80",80,0.405216651102857,0.206950931637072,0.101615383195927,0.510716751332465,2.03661025652038,0.515785620187772,3.50093095777022,6.85493661336984
"85",85,0.583387748409458,0.177213257595849,0.168701542041916,0.303765819695393,1.05045428424014,0.3348574517619,1.46432070124984,4.82055783207675
"90",90,0.771364807589512,0.0976181927138747,0.277519585587427,0.126552562099544,0.351752444813024,0.150082175416569,0.4138664170097,3.27031243100522
"95",95,1,0.0289343693856696,0.491947410646362,0.0289343693856696,0.05881598065056,0,0.0621139721966765,2.14671940379112
