"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.17192433722,0.17192433722,0.193554174813651,1,0.888249180807,0.778817692477121,37.4990876606737,37.4990876606737
"1",1,0.1523008327,0.126116612979998,0.0419572043498495,0.82807566278,3.0058392815786,0.868813697601768,36.6108384798667,44.2119484069336
"5",5,0.06556085792,0.0460210375295961,0.0136026628184041,0.701959049800002,3.38323739579362,0.95317074473659,33.6049991982881,47.8731618430771
"10",10,0.03486556158,0.0228696471594766,0.00709179686657492,0.655938012270405,3.22480290816928,0.964383272800928,30.2217618024945,46.0741125489703
"15",15,0.0364598872,0.0230816011818329,0.00742186562406413,0.633068365110929,3.10994598271825,0.961041519374844,26.9969588943252,42.6446184680144
"20",20,0.04176771452,0.0254777530167691,0.00852444527031613,0.609986763929096,2.98878721240523,0.955078439798204,23.887012911607,39.1598872699205
"25",25,0.04848715302,0.0283411778536748,0.00992850497519624,0.584509010912327,2.85452622771282,0.947790310731323,20.8982256992018,35.7534705351811
"30",30,0.05644793746,0.0313945270577585,0.0116039979317787,0.556167833058652,2.70549230035464,0.939766152932621,18.0436994714889,32.4429037405083
"35",35,0.06458061524,0.0338901829630665,0.0133293144039691,0.524773306000894,2.54253009089311,0.932891291906047,15.3382071711343,29.2282534110227
"40",40,0.07003655768,0.0343797641607773,0.0144945839015033,0.490883123037827,2.37190418120327,0.92736675832882,12.7956770802412,26.0666469872813
"45",45,0.07565817168,0.0345382094984165,0.0157018619356926,0.45650335887705,2.19962509158905,0.916906935147343,10.4237728990379,22.8339456793468
"50",50,0.09180679754,0.03873926903794,0.0192077944334772,0.421965149378633,2.01685150120211,0.8939800574632,8.22414780744887,19.4901114927604
"55",55,0.12297401542,0.0471268253183595,0.0261376435551658,0.383225880340693,1.8030250209394,0.854126450503556,6.20729630624676,16.1974872384099
"60",60,0.17415985916,0.0585349640864987,0.0380094365258005,0.336099055022334,1.54001136130407,0.792067455951659,4.40427128530736,13.1040870823475
"65",65,0.25223539818,0.0700114889976701,0.0573962105233871,0.277564090935835,1.21979288108477,0.702375940648041,2.86425992400328,10.3192740615191
"70",70,0.36338145076,0.0754207656013032,0.0880309149056739,0.207552601938165,0.856753172247697,0.580616604178535,1.64446704291852,7.92313383480707
"75",75,0.49409459134,0.0652856256778655,0.131241866454191,0.132131836336862,0.497445117489645,0.43566976927272,0.78771387067082,5.96157513971571
"80",80,0.642052107460092,0.0429187504293298,0.198036148259934,0.0668462106589963,0.216721799562555,0.291690388924662,0.290268753181175,4.34233669073522
"85",85,0.797201590577947,0.0190750093535807,0.301744971772019,0.0239274602296664,0.0632156660028542,0.154101273523218,0.0735469536186204,3.07374677097711
"90",90,0.916084174213285,0.00444525345372957,0.456315879766534,0.00485245087608578,0.00974161463765826,0.0570764264860858,0.0103312876157661,2.12908649249426
"95",95,1,0.000407197422356207,0.700562701251307,0.000407197422356207,0.000581243365695738,0,0.000589672978107886,1.44812551782819
