"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.20078922471,0.20078922471,0.231999886534554,1,0.8654712194443,0.750361336732515,34.4462899922699,34.4462899922699
"1",1,0.1590982109,0.127153004480641,0.0440534394068011,0.79921077529,2.88633546421827,0.862943526091614,33.5808187728257,42.0174750029372
"5",5,0.06638583254,0.0446151146301558,0.0137803162809359,0.672057770809359,3.23759728881387,0.953066579500418,30.6944833086074,45.6723880621781
"10",10,0.03424450196,0.0214864612693163,0.00696335964789302,0.627442656179203,3.08564577384966,0.964157088494053,27.4568860197935,43.7599926453702
"15",15,0.03763592262,0.0228057204627381,0.00766566665376568,0.605956194909887,2.97504724543886,0.955120935839855,24.3712402459438,40.2194753526171
"20",20,0.05303266928,0.0309260262518307,0.0108835828725084,0.583150474447149,2.84152990923135,0.945602384615438,21.396193000505,36.6906895184977
"25",25,0.05595911763,0.0309019928547236,0.0115007376693953,0.552224448195318,2.68695745812525,0.942319198108977,18.5546630912736,33.5998580865275
"30",30,0.05965651924,0.0311002830872702,0.0122830299994336,0.521322455340594,2.53197159729352,0.93651932740145,15.8677056331484,30.4374106094885
"35",35,0.06788633169,0.0332793849873815,0.0140345896044086,0.490222172253324,2.37124033729691,0.925923238653906,13.3357340358549,27.2034493555374
"40",40,0.08127148343,0.0371364181637421,0.0169141218576581,0.456942787265943,2.19558653273673,0.911467511954588,10.964493698558,23.995331590991
"45",45,0.09709441705,0.0407608546818553,0.0203681474431426,0.419806369102201,2.00120579427455,0.892909221005795,8.76890716582122,20.8879802957121
"50",50,0.11908471536,0.0451385271932316,0.0252608712288139,0.379045514420345,1.78689510683797,0.865868722371784,6.76770137154667,17.854587678992
"55",55,0.15263526177,0.0509659804022425,0.0329404305490413,0.333906987227114,1.54721658317019,0.824691210074086,4.9808062647087,14.9167476430222
"60",60,0.20429629404,0.0578037991262675,0.0453016380571259,0.282941006824871,1.27597591622131,0.763135800530463,3.43358968153851,12.1353554229195
"65",65,0.28120469617,0.063309640087448,0.0650167923576186,0.225137207698604,0.973742902283143,0.670798989187236,2.1576137653172,9.5835503485752
"70",70,0.40153872261,0.0649800347816668,0.0994817084207099,0.161827567611156,0.653185754579778,0.540213199957764,1.18387086303406,7.31563157322304
"75",75,0.54261825226,0.0525512389996302,0.148929613836993,0.0968475328294888,0.352859566648369,0.389113212991077,0.530685108454278,5.47959346975426
"80",80,0.680725151100866,0.0301536013105389,0.219614653077439,0.0442962938298586,0.137302319713186,0.258769295733691,0.177825541805909,4.01445643486415
"85",85,0.824070245231987,0.0116545720926364,0.328024070958187,0.0141426925193198,0.0355296245747831,0.133663930172581,0.0405232220927235,2.86531168215433
"90",90,0.928975637949031,0.00231140326067217,0.486710680223861,0.00248812042668334,0.00474902925822183,0.0489763660046556,0.00499359751794042,2.00697581370564
"95",95,1,0.00017671716601117,0.73146881355162,0.00017671716601117,0.000241592208358311,0,0.00024456825971859,1.38395304337968
