"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.30720983442,0.30720983442,0.383861815533668,1,0.800313607627,0.578515147593728,20.0213596308797,20.0213596308797
"1",1,0.36619890926,0.253699002981451,0.121255840414234,0.69279016558,2.09226213034164,0.721336681674886,19.2210460232527,27.7443979118279
"5",5,0.09021512694,0.0396126649720603,0.0189850307136873,0.439091162598549,2.08652098431958,0.935127547867057,17.128783892911,39.0096302361053
"10",10,0.0482183196,0.0192621818718819,0.00987215285839986,0.399478497626489,1.95116325163993,0.94353661576649,15.0422629085914,37.6547498750631
"15",15,0.06584805042,0.025036503130316,0.0135994487332172,0.380216315754607,1.84099397126028,0.926752012083901,13.0910996569515,34.4306625321164
"20",20,0.08182967418,0.0290642483423592,0.0170350413395812,0.355179812624291,1.70614486709979,0.915476045658705,11.2501056856912,31.6743950129609
"25",25,0.08770288904,0.0286012771484353,0.0183114416488437,0.326115564281932,1.56193475625341,0.91063113900854,9.54396081859143,29.2655790275025
"30",30,0.0913471671,0.0271770873014209,0.0191072208583509,0.297514287133497,1.42234642614407,0.906587172066705,7.98202606233802,26.8290512675663
"35",35,0.09587559386,0.0259187395763498,0.0201001326040369,0.270337199832076,1.28948102417714,0.903627707241455,6.55967963619395,24.2648057325022
"40",40,0.09696744368,0.0237006332791994,0.0203402111080273,0.244418460255726,1.16521078140855,0.900783341645928,5.27019861201681,21.5621954516152
"45",45,0.10191495446,0.0224944472848229,0.0214313972309469,0.220717826976527,1.04960246139906,0.884756404846164,4.10498783060826,18.598351962956
"50",50,0.1313215388,0.0260309992472512,0.0280312383288722,0.198223379691704,0.928642500265115,0.848516437653931,3.0553853692092,15.4138496375212
"55",55,0.1766277246,0.0304139483513612,0.0385979277099262,0.172192380444452,0.787968426178996,0.77873652256607,2.12674286894408,12.3509696738884
"60",60,0.27999195342,0.0396968201545695,0.0646928613874577,0.141778432093091,0.61361979209449,0.670012704752474,1.33877444276509,9.44272286694532
"65",65,0.40521092722,0.0413645846257207,0.100611186482343,0.102081611938522,0.41113305659088,0.532737904010902,0.725154650670597,7.10367554841628
"70",70,0.58028047944,0.0352329057192439,0.160861630696294,0.0607170273128012,0.219026162837821,0.358840482019921,0.314021594079718,5.17188683269926
"75",75,0.76636197078,0.0195300616480358,0.248488439113555,0.0254841215935573,0.0785954538476973,0.184160744089298,0.0949954312418972,3.72763216080059
"80",80,0.83769652625867,0.00498769533349932,0.344592190019229,0.00595405994552158,0.014474197262628,0.126296659613801,0.0163999773941999,2.75441926084996
"85",85,0.929030079627237,0.000897781792455988,0.491116405870398,0.000966364612022264,0.00182804276486114,0.0526584919818113,0.00192578013157185,1.99280903668634
"90",90,0.978699881488326,6.71219973816498e-05,0.697284646292629,6.85828195662763e-05,9.62619752758485e-05,0.0150954694659658,9.7737366710714e-05,1.42509986216393
"95",95,1,1.46082218462643e-06,0.992710703892891,1.46082218462643e-06,1.47154873912193e-06,0,1.47539143486549e-06,1.00997332214173
