"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.177706727054078,0.177706727054078,0.201724787758954,1,0.880936492873768,0.768802975647785,40.6439397854139,40.6439397854139
"1",1,0.147587421426438,0.121360143810395,0.0409574530359374,0.822293272945922,2.96307838536516,0.895342412309378,39.7630032925402,48.3562308008267
"5",5,0.0326609248184764,0.0228931242334749,0.00665167233726377,0.700933129135527,3.44170955403558,0.977026695099323,36.799924907175,52.5013348314139
"10",10,0.0169347882867509,0.0114824639329638,0.00341471484436568,0.678040004902053,3.36264211107115,0.978921685829214,33.3582153531394,49.19800470764
"15",15,0.0256444606015835,0.0170935085980702,0.00519281221710695,0.666557540969089,3.29176328421008,0.968081024016096,29.9955732420683,45.0007259665213
"20",20,0.03889527097,0.0252610795243396,0.00792705007919506,0.649464032371019,3.18669357099668,0.961181913587516,26.7038099578582,41.1166879563288
"25",25,0.0387310859,0.0241760581857384,0.00789295447493121,0.624202952846679,3.06299222458762,0.960466275067758,23.5171163868615,37.6754327732858
"30",30,0.04043828515,0.0242640586639681,0.00824774894537538,0.600026894660941,2.94190073251118,0.95746911102824,20.4541241622739,34.0886789313535
"35",35,0.04489341286,0.0258479587058565,0.00917642384442861,0.575762835996972,2.81677907909081,0.950429162951471,17.5122234297627,30.4156891256086
"40",40,0.05487622349,0.0301772517067032,0.0112721600125917,0.549914877291116,2.67714898235949,0.939607671600431,14.6954443506719,26.7231256282095
"45",45,0.0667150773,0.0346743358665825,0.0137844377793536,0.519737625584413,2.51546972184227,0.92359833621696,12.0182953683124,23.1237739519023
"50",50,0.0876456063005469,0.0425136661214571,0.0182989563600337,0.48506328971783,2.32328364989765,0.898257007174052,9.50282564647015,19.5908984413108
"55",55,0.118482287163015,0.0524342915868296,0.0251253751511996,0.442549623596373,2.08690581817347,0.857431920101501,7.17954199657249,16.2231343419254
"60",60,0.172168100125131,0.0671654155417676,0.0375355867399541,0.390115332009543,1.78937966274747,0.795396933827408,5.09263617839902,13.0541810601651
"65",65,0.247048736471189,0.0797843688068402,0.0560572003411463,0.322949916467776,1.42326709720246,0.704370308470693,3.30325651565154,10.2283863447946
"70",70,0.36552713447,0.08888360583833,0.0886613244244966,0.243165547660936,1.00250708429269,0.568760687190805,1.87998941844908,7.73131488622926
"75",75,0.521702251241918,0.080489236374828,0.141162969822608,0.154281941822606,0.570186618175958,0.409514368795362,0.877482334156395,5.68752456567684
"80",80,0.66312993791883,0.0489341521824473,0.209568450867226,0.0737927054477777,0.23349961303789,0.274239264787253,0.307295715980437,4.16431019998185
"85",85,0.81075948749995,0.0201543079053895,0.314740106944466,0.0248585532653304,0.064034762207619,0.144230223696105,0.0737961029425476,2.9686402967573
"90",90,0.921688341343203,0.00433584810307539,0.469463660840145,0.00470424535994091,0.00923574807753176,0.053844310087052,0.00976134073492863,2.07500672011106
"95",95,1,0.000368397256865514,0.710713960049306,0.000368397256865514,0.000518348136625818,0,0.000525592657396869,1.42670078998102
