"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.0134700892786243,0.0134700892786243,0.0136388835695174,1,0.987624039018093,0.985983146734057,73.9076058718061,73.9076058718061
"1",1,0.00162516285739905,0.00160327176861758,0.000406685220881157,0.986529910721376,3.94229169465219,0.998218566247024,72.919981832788,73.9156319948445
"5",5,0.00129212369452548,0.00127264704756021,0.000258608523715701,0.984926638952758,4.921133415383,0.998868929780903,68.9776901381358,70.033327772998
"10",10,0.00114483497905587,0.00112612149722101,0.000229092887115474,0.983653991905198,4.91556726793266,0.998259248804109,64.0565567227528,65.1210255332613
"15",15,0.00238706702242769,0.00234535987806699,0.000477961048512855,0.982527870407977,4.90701048833253,0.997183208283489,59.1409894548201,60.1926838271396
"20",20,0.0032834407242253,0.0032183711722473,0.000657724752959875,0.98018251052991,4.89318846183616,0.996782753036427,54.2339789664876,55.3304903769069
"25",25,0.00314530082531946,0.00307284611382917,0.000630011321125475,0.976964139357663,4.87744586611512,0.996669815758658,49.3407905046514,50.5041981756794
"30",30,0.00353110656986665,0.00343891394390923,0.000707420342750904,0.973891293243834,4.86120307275379,0.995880419390145,44.4633446385363,45.6553466973074
"35",35,0.00475935325857871,0.00461872569371655,0.000954050169371315,0.970452379299924,4.8411769548347,0.993788231754485,39.6021415657825,40.807918462059
"40",40,0.0077927422283727,0.00752649269804059,0.00156440010973721,0.965833653606208,4.81110468555574,0.988998886067161,34.7609646109478,35.990633046548
"45",45,0.0145041481889875,0.01389942907238,0.00292116677497623,0.958307160908167,4.75817717476713,0.980129430894315,29.9498599253921,31.2528812755706
"50",50,0.0257697544234843,0.0243371553250481,0.00521850104002169,0.944407731835787,4.66362948639882,0.964472955127208,25.191682750625,26.6745833408798
"55",55,0.0463770446903337,0.0426701542450997,0.00948658973622143,0.920070576510739,4.49794451236546,0.939607232903854,20.5280532642261,22.3113897871578
"60",60,0.0763148872469071,0.066958714295591,0.0158433370396846,0.87740042226564,4.22630119701878,0.901144555585044,16.0301087518607,18.2700034614383
"65",65,0.125291874530487,0.101541760789257,0.0266618193840259,0.810441707970049,3.80850831395603,0.840426001334095,11.8038075548419,14.5646595415325
"70",70,0.202032696295397,0.1432209677326,0.0447457936630597,0.708899947180792,3.20076941334572,0.744955369592298,7.99529924088587,11.2784593547823
"75",75,0.31393391097923,0.177585814376911,0.0744772492664404,0.565678979448192,2.38443036129868,0.623437051601991,4.79452982754015,8.47570795757183
"80",80,0.458661223198178,0.178003285806446,0.119743174268064,0.388093165071281,1.48654223419832,0.464613992943083,2.41009946624147,6.21010541579316
"85",85,0.632631627540626,0.132909502249126,0.192436076481346,0.210089879264835,0.690668323109413,0.293257170308227,0.923557232043149,4.39601010422274
"90",90,0.804846281500494,0.0621183394458995,0.306691443780777,0.0771803770157088,0.202543438056595,0.13030019770403,0.232888908933736,3.0174627015146
"95",95,1,0.0150620375698094,0.519936267638706,0.0150620375698094,0.0289690073712567,0,0.0303454708771416,2.0146989234688
