"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.00445507701608071,0.00445507701608071,0.00447374496975707,1,0.995827219968381,0.995440621989184,79.99905963201,79.99905963201
"1",1,0.000325138225977107,0.000323689710139507,8.13009670738056e-05,0.995544922983919,3.98137588997754,0.999648952439034,79.0032324120417,79.3567729472694
"5",5,0.000237605071995493,0.00023646961278346,4.75272253894944e-05,0.99522123327378,4.97545587493374,0.999793523991473,75.0218565220641,75.3820899452474
"10",10,0.000207396660308156,0.000206356517040791,4.14834617567159e-05,0.994984763660996,4.97442856266408,0.999710627370179,70.0464006471304,70.399470630483
"15",15,0.000378198352283755,0.000376223554469303,7.56534042133038e-05,0.994778407143956,4.97298909918905,0.999529623801758,65.0719720844663,65.4135349311514
"20",20,0.00057027331228717,0.000567081026981171,0.000114085891324217,0.994402183589486,4.97064992348268,0.999329905545589,60.0989829852772,60.4372998944334
"25",25,0.000778295729345301,0.000773497615997847,0.000155717319048773,0.993835102562505,4.96731911853413,0.999070593313722,55.1283330617946,55.4703017831144
"30",30,0.00109323773195914,0.00108565241668742,0.000218762342830634,0.993061604946507,4.96270245893249,0.998578799314511,50.1610139432604,50.5114825640273
"35",35,0.00177688273017787,0.00176262493880198,0.000355679906747785,0.99197595252982,4.95564946279597,0.997500655414116,45.1983114843279,45.5639185295364
"40",40,0.00328340477924837,0.00325127117228778,0.000657717541250476,0.990213327591018,4.9432635871416,0.995079816910498,40.242662021532,40.6403962663621
"45",45,0.00669920082762082,0.00661185702519071,0.00134416247642393,0.98696205641873,4.91894182523319,0.990980664716248,35.2993984343904,35.7657097401262
"50",50,0.0115497661423958,0.0113228155406464,0.00232283074136771,0.980350199393539,4.87457623967015,0.98432931812654,30.3804566091572,30.9893919825293
"55",55,0.0201871716494766,0.0195619221308816,0.00407693922845984,0.969027383852893,4.79818830615035,0.972951640849232,25.505880369487,26.3211141341276
"60",60,0.0346344540776046,0.0328842179322826,0.00704399396048768,0.949465461722011,4.66840518557258,0.949907169261856,20.7076920633367,21.8098423778153
"65",65,0.0674402229113165,0.061814443397511,0.0139392772039548,0.916581243789729,4.43455155479462,0.905257266622191,16.0392868777641,17.4990345770633
"70",70,0.126459434439451,0.108093326155219,0.0269263293083023,0.854766800392218,4.01441001918856,0.823351895382532,11.6047353229695,13.5764928137646
"75",75,0.229334662507421,0.171238109217385,0.0518075680709216,0.746673474236998,3.30527209814153,0.715089710880107,7.59032530378093,10.1655215642115
"80",80,0.362570755346509,0.208636034948255,0.0882717169116352,0.575435365019613,2.36356606904011,0.559167314386462,4.2850532056394,7.44662818124387
"85",85,0.538542054656847,0.197536864863384,0.149464699340832,0.366799330071358,1.32162889120013,0.375436947636278,1.92148713659929,5.23852411678473
"90",90,0.735039208904268,0.124414548523655,0.250740584383338,0.169262465207974,0.496188316820094,0.172824045304378,0.599858245399164,3.54395314201595
"95",95,1,0.0448479166843185,0.462472343013955,0.0448479166843185,0.0969742674600656,0,0.10366992857907,2.3115885027346
