Idade	Int1	Int2	Int3	Int4	Int5	Int6	Int7	Int8
15 a 19	1.12	1.31	1.615	1.95	2.305	2.64	2.925	3.17
20 a 24	2.555	2.69	2.78	2.84	2.89	2.925	2.96	2.985
25 a 29	2.925	2.96	2.985	3.01	3.035	3.055	3.075	3.095
30 a 34	3.055	3.075	3.095	3.12	3.14	3.165	3.19	3.215
35 a 39	3.165	3.19	3.215	3.245	3.285	3.325	3.375	3.435
40 a 44	3.325	3.375	3.435	3.51	3.61	3.74	3.915	4.15
45 a 49	3.64	3.895	4.15	4.395	4.63	4.84	4.985	5
P1/P2	0.014	0.045	0.09	0.143	0.205	0.268	0.33	0.387
f1/f2	0.036	0.113	0.213	0.33	0.46	0.605	0.764	0.939
m	31.7	30.7	29.7	28.7	27.7	26.7	25.7	24.7
