Idade;Homens;Mulheres;TEM_m;TEM_f
Menos de 1 ano;359.6;278.3;0.009887813462384515;0.007600087388715932
1 a 4 anos;120.2;96.1;0.0007918417897469005;0.0006556057360385313
5 a 9 anos;60.1;42.1;0.0003066404755223348;0.00022359483129477873
10 a 14 anos;74.1;62.1;0.00036427454797510544;0.00031478261751124043
15 a 19 anos;267.5;98.1;0.0014653840675774874;0.0005383749965699859
20 a 24 anos;436.8;102.1;0.0025657593308349293;0.000603435028782846
25 a 29 anos;519.9;175.2;0.003223726228196908;0.0010797951347586792
30 a 34 anos;382.7;176.2;0.0026816621119753344;0.0012318404899397362
35 a 39 anos;398.7;206.3;0.0034137027587033577;0.0017790464035322222
40 a 44 anos;334.6;157.2;0.0034122662097942034;0.001677211475882083
45 a 49 anos;346.6;239.3;0.00432121083668915;0.0031002228325646476
50 a 54 anos;417.7;244.3;0.006514652900166882;0.003985643200913614
55 a 59 anos;516.9;325.4;0.010806573005519318;0.006666393509792674
60 a 64 anos;489.9;308.4;0.013782141450514825;0.008806899308926837
65 a 69 anos;529.9;372.5;0.02127514353394628;0.014517323356327215
70 a 74 anos;546.0;400.5;0.030850943609447394;0.021364557772324762
75 a 79 anos;544.0;408.5;0.046105602169675394;0.030730459640412246
80 a 84 anos;450.8;405.5;0.06617733411626542;0.0485163914812156
85 a 89 anos;329.6;336.4;0.10979347101932047;0.08239039921626255
90 a 94 anos;189.3;225.3;0.1280784844384303;0.10873552123552124
95 a 99 anos;79.1;110.1;0.169017094017094;0.1132716049382716
100 anos ou mais;26.0;33.0;0.24074074074074073;0.2129032258064516
