Idade;Homens;Mulheres;TEM_m;TEM_f
Menos de 1 ano;661.6;518.4;0.018191816981962164;0.014156971980992954
1 a 4 anos;158.4;140.1;0.0010434920091173796;0.0009557790178875988
5 a 9 anos;73.2;59.0;0.000373478915278451;0.0003133514262800937
10 a 14 anos;77.2;64.0;0.00037951410396326775;0.0003244136476766407
15 a 19 anos;291.7;98.1;0.001597953392569544;0.0005383749965699859
20 a 24 anos;475.2;99.1;0.002791320590688549;0.0005857043227461317
25 a 29 anos;440.1;124.1;0.0027289130852653576;0.0007648548871207312
30 a 34 anos;374.9;160.1;0.00262700581599047;0.0011192829877375242
35 a 39 anos;365.9;145.1;0.003132866414370601;0.0012512827588585817
40 a 44 anos;356.9;179.1;0.0036396826368067874;0.0019108687998122206
45 a 49 anos;390.0;231.1;0.0048622972484384545;0.0029939887029071877
50 a 54 anos;448.1;272.2;0.006988786125364568;0.0044408189901297005
55 a 59 anos;491.2;284.2;0.010269275798628533;0.005822338769155126
60 a 64 anos;546.4;321.2;0.015371631125865075;0.009172425609686447
65 a 69 anos;517.3;349.2;0.02076926165335046;0.013609259908803928
70 a 74 anos;609.5;455.3;0.03443891965193807;0.024287848074255842
75 a 79 anos;598.5;439.3;0.050724637681159424;0.03304746859249229
80 a 84 anos;1188.9;1292.7;0.1745302407516148;0.1546661880832735
85 a 89 anos;0.0;0.0;0.0;0.0
90 a 94 anos;0.0;0.0;0.0;0.0
95 a 99 anos;0.0;0.0;0.0;0.0
100 anos ou mais;0.0;0.0;0.0;0.0
