Idade;Homens;Mulheres;Ignorados
Menos de 1 ano;656;515;7
1 a 4 anos;158;140;0
5 a 9 anos;73;59;0
10 a 14 anos;77;64;0
15 a 19 anos;291;98;0
20 a 24 anos;474;99;0
25 a 29 anos;439;124;0
30 a 34 anos;374;160;0
35 a 39 anos;365;145;0
40 a 44 anos;356;179;0
45 a 49 anos;389;231;0
50 a 54 anos;447;272;0
55 a 59 anos;490;284;0
60 a 64 anos;545;321;0
65 a 69 anos;516;349;0
70 a 74 anos;608;455;0
75 a 79 anos;597;439;0
80 a 84 anos;1186;1292;0
85 a 89 anos;0;0;0
90 a 94 anos;0;0;0
95 a 99 anos;0;0;0
100 anos ou mais;0;0;0
Idade ignorada;20;3;3
