Idade;Obitos_m;Obitos_f;TEM_m;TEM_f;Pop_f;Pop_m
Menos de 1 ano;654.1568345323741;553.0932546374369;0.017987154491101356;0.01510440916045215;36618;36368
1 a 4 anos;256.0613908872901;188.0317032040472;0.0016868561567826327;0.0012827748509642875;146582;151798
5 a 9 anos;108.02589928057554;80.01349072512647;0.0005511666077225212;0.0004249549396672445;188287;195995
10 a 14 anos;105.02517985611509;81.01365935919056;0.0005163022930916393;0.0004106552616304348;197279;203418
15 a 19 anos;350.08393285371704;147.0247892074199;0.001917784738387678;0.0008068753352216882;182215;182546
20 a 24 anos;475.1139088729017;140.02360876897134;0.002790814892170567;0.0008275724817608444;169198;170242
25 a 29 anos;455.1091127098322;144.02428330522767;0.002821979579407788;0.0008876525136991469;162253;161273
30 a 34 anos;380.0911270983214;160.02698145025298;0.0026633811722957144;0.0011187725041615023;143038;142710
35 a 39 anos;345.0827338129496;184.0310286677909;0.002954627239523859;0.0015870079480841913;115961;116794
40 a 44 anos;329.078896882494;207.0349072512648;0.0033559617459309183;0.0022089142643130027;93727;98058
45 a 49 anos;351.0841726618705;229.0386172006745;0.004377116940266934;0.0029672827019831386;77188;80209
50 a 54 anos;414.09928057553964;287.04839797639124;0.00645849432405664;0.004683063838427135;61295;64117
55 a 59 anos;468.1122302158273;309.052107925801;0.009786591198691824;0.006331478077640765;48812;47832
60 a 64 anos;557.1335731414869;359.06053962900506;0.015673594022998;0.010253599281198386;35018;35546
65 a 69 anos;525.1258992805756;428.07217537942665;0.021083466466478323;0.01668311997269678;25659;24907
70 a 74 anos;661.1585131894484;478.0806070826307;0.037357809537204675;0.025503073033320747;18746;17698
75 a 79 anos;673.1613908872903;467.0787521079258;0.05705241044896095;0.03513719642728698;13293;11799
80 a 84 anos;500.1199040767386;522.0880269814503;0.07341748445049011;0.062465664869759546;8358;6812
85 a 89 anos;420.10071942446035;452.07622259696467;0.13994027962173897;0.11072158280601632;4083;3002
90 a 94 anos;180.04316546762593;240.04047217537945;0.12181540288743296;0.11584964873329125;2072;1478
95 a 99 anos;100.02398081534771;198.033389544688;0.21372645473364896;0.20373805508712756;972;468
100 anos ou mais;32.00767386091127;76.01281618887015;0.2963673505639932;0.4904052657346461;155;108
