"x","nax","nMx","nqx","lx","ndx","nLx","Tx","ex"
"Menos de 1 ano",0.1009,0.0182,0.0179,1,0.0179,0.9839,73.06,73.06
"1 a 4 anos",1.5,0.001,0.0042,0.9821,0.0041,3.9182,72.08,73.39
"5 a 9 anos",2.5,4e-04,0.0019,0.978,0.0018,4.8855,68.16,69.69
"10 a 14 anos",2.5,4e-04,0.0019,0.9762,0.0019,4.8763,63.27,64.82
"15 a 19 anos",2.5,0.0016,0.008,0.9743,0.0078,4.8523,58.4,59.93
"20 a 24 anos",2.5,0.0028,0.0139,0.9666,0.0134,4.7994,53.54,55.39
"25 a 29 anos",2.5,0.0027,0.0136,0.9532,0.0129,4.7336,48.74,51.14
"30 a 34 anos",2.5,0.0026,0.013,0.9403,0.0123,4.6707,44.01,46.81
"35 a 39 anos",2.5,0.0031,0.0155,0.928,0.0144,4.6039,39.34,42.39
"40 a 44 anos",2.5,0.0036,0.018,0.9136,0.0165,4.5267,34.74,38.02
"45 a 49 anos",2.5,0.0049,0.024,0.8971,0.0215,4.4316,30.21,33.67
"50 a 54 anos",2.5,0.007,0.0343,0.8756,0.0301,4.3026,25.78,29.44
"55 a 59 anos",2.5,0.0103,0.0501,0.8455,0.0423,4.1216,21.48,25.4
"60 a 64 anos",2.5,0.0154,0.074,0.8032,0.0594,3.8672,17.35,21.61
"65 a 69 anos",2.5,0.0208,0.0987,0.7437,0.0734,3.535,13.49,18.13
"70 a 74 anos",2.5,0.0344,0.1585,0.6703,0.1063,3.0858,9.95,14.85
"75 a 79 anos",2.5,0.0507,0.2251,0.564,0.127,2.5027,6.87,12.17
"80+",9.9823,0.1002,1,0.4371,0.4371,4.363,4.36,9.98
