"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.158375988770863,0.158375988770863,0.178441152483921,1,0.887553047972687,0.823794598718215,49.0257902399371,49.0257902399371
"1",1,0.0581502132006251,0.0489406156877396,0.0151452353799141,0.841624011229137,3.23141994561839,0.952666708783126,48.1382371919644,57.196843899049
"5",5,0.0180783090392867,0.0143303753949085,0.00365197363726716,0.792683395541398,3.92400844537099,0.986884825416171,44.906817246346,56.6516436435192
"10",10,0.0102891997019228,0.00800862966288195,0.00206805367667589,0.778353020146489,3.87254438954153,0.986589024772553,40.982808800975,52.6532405479225
"15",15,0.0168280577579868,0.0129633998965993,0.00339301854941664,0.770344390483607,3.8206097926662,0.979555151828398,37.1102644114335,48.1736024431052
"20",20,0.0244301018656956,0.0185028947511821,0.00494399588826257,0.757380990587008,3.7424980055322,0.975381528377262,33.2896546187673,43.9536442457661
"25",25,0.0248276490862759,0.0183446060809476,0.00502541910139643,0.738878095835826,3.65036342458485,0.973865187380201,29.5471566132351,39.9892171384659
"30",30,0.0275869598496271,0.0198773284521795,0.00559143226629283,0.720533489754878,3.55496186048916,0.969444569487257,25.8967931886502,35.9411374445068
"35",35,0.0338625058866787,0.0237259733866504,0.00688440023826104,0.700656161302699,3.44633847038553,0.961543004326637,22.3418313281611,31.8870118641673
"40",40,0.0436088130553638,0.0295201220163633,0.00890823176974509,0.676930187916048,3.31380264674097,0.949580094718868,18.8954928577755,27.9135030392808
"45",45,0.0581350362289125,0.0376372076360408,0.0119607703584781,0.647410065899685,3.14672103117193,0.931556462291101,15.5816902110346,24.0677292982481
"50",50,0.0803003788693048,0.0489649915427895,0.0167039144917596,0.609772858263644,2.93134831161553,0.904996080529655,12.4349691798626,20.3927889071215
"55",55,0.112323526095325,0.0629919170520834,0.0237449194999028,0.560807866720855,2.65285873267927,0.866660606429847,9.50362086824712,16.9463044871616
"60",60,0.158987465174721,0.0791464959613844,0.0344245690196652,0.497815949668771,2.29912815803653,0.809788550001086,6.85076213556784,13.7616364845805
"65",65,0.230431996255778,0.0964748379891093,0.0518178328505476,0.418669453707387,1.86180765736307,0.726545229425425,4.55163397753131,10.8716648354109
"70",70,0.334018626251092,0.107619002927718,0.0795593994843596,0.322194615718278,1.35268747156487,0.606235708758645,2.68982632016824,8.34845211231023
"75",75,0.471312862839663,0.101132246359894,0.123324871749799,0.21457561279056,0.820047448053066,0.459528941487892,1.33713884860337,6.23155087949583
"80",80,0.618528472397744,0.0701679521420175,0.186203119082061,0.113443366430666,0.376835535773673,0.314088643925338,0.517091400550305,4.55814576753008
"85",85,0.775569579448693,0.0335630948603152,0.283568454141612,0.0432754142886487,0.118359762414031,0.172541527636662,0.140255864776632,3.24100570917982
"90",90,0.901396916338037,0.00875465478318981,0.428687975505931,0.00971231942833348,0.0204219742176292,0.067323769343072,0.0218961023626013,2.25446686799905
"95",95,1,0.000957664645143673,0.661917713423213,0.000957664645143673,0.00144680316861587,0,0.00147412814497206,1.53929473375402
