"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.117339345430989,0.117339345430989,0.127676570201247,1,0.919035851652618,0.866800161704967,54.9956782852517,54.9956782852517
"1",1,0.0474667312580889,0.0418970160825161,0.0122686518343924,0.882660654569011,3.41496495687222,0.961969727731799,54.0766424335991,61.2654955827886
"5",5,0.0149823167592126,0.0125965871514328,0.00302136018830419,0.840763638486495,4.16917757776604,0.988740122963209,50.6616774767269,60.2567417971664
"10",10,0.00935907483353294,0.00775087740811116,0.0018802617718085,0.828167051335062,4.12223315089584,0.988741254942986,46.4924998989608,56.139035987983
"15",15,0.0133361638503993,0.0109412045210075,0.00268441668403557,0.820416173926951,4.07582197878434,0.984551889735027,42.370266748065,51.6448457436647
"20",20,0.0177669770008304,0.0143819231641833,0.00358395994444038,0.809474969405944,4.01285823143568,0.980779184391896,38.2944447692806,47.3077565293762
"25",25,0.0208242964397073,0.0165572532920883,0.00420691014099973,0.79509304624176,3.93572782330779,0.977839236567483,34.281586537845,43.1164461818487
"30",30,0.0236393941184574,0.0184041144448631,0.00478214134722941,0.778535792949672,3.84850909008069,0.974612496521342,30.3458587145372,38.9781163426854
"35",35,0.0273271404619697,0.0207722251480937,0.00553807112318027,0.760131678504809,3.75080505216862,0.970730128373121,26.4973496244565,34.8588940229109
"40",40,0.0314336262829428,0.0232407487455758,0.00638303336150232,0.739359453356715,3.64101946979419,0.965090321034422,22.7465445722879,30.7652042169987
"45",45,0.0387976146215203,0.0277836975247653,0.00790676954724575,0.716118704611139,3.51391264899626,0.954287250897342,19.1055251024937,26.6792711591973
"50",50,0.053506524692332,0.0368304140532636,0.0109833928656199,0.688335007086374,3.35328204170404,0.934933509590901,15.5916124534974,22.6511978803672
"55",55,0.0782977450557217,0.0510113405279382,0.0162710630328059,0.65150459303311,3.1350957478985,0.902185211819507,12.2383304117934,18.7847185463686
"60",60,0.120754369017742,0.072512183805674,0.0256368387407054,0.600493252505172,2.82843702139224,0.848732072773247,9.10323466389488,15.1595952592598
"65",65,0.188864195620488,0.0997167198427764,0.0415385045210475,0.527981068699498,2.40058521587483,0.767264533169695,6.27479764250263,11.8845125601917
"70",70,0.291328874026353,0.124765770538058,0.0677381298991061,0.428264348856722,1.84188389499227,0.646376593943045,3.87421242662781,9.04631085209464
"75",75,0.430897903932042,0.130776901243867,0.109845727696582,0.303498578318664,1.19055063848365,0.499315334231752,2.03232853163554,6.69633624939638
"80",80,0.583670290712646,0.100812511470623,0.169586648813241,0.172721677074797,0.594460189974291,0.344411622580781,0.841777893151884,4.87360884521375
"85",85,0.749903194330894,0.0539249129882396,0.263383690259044,0.0719091656041744,0.204738998588725,0.192311693741787,0.247317703177593,3.439307091101
"90",90,0.888298951738953,0.0159753927465434,0.405737618981369,0.0179842526159348,0.039373703593595,0.0752723932355409,0.0425787045888682,2.36755485469225
"95",95,1,0.00200885986939139,0.640029241300704,0.00200885986939139,0.00313870014018245,0,0.00320500099527322,1.59543283436899
