"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.0794432309573452,0.0794432309573452,0.084327667936315,1,0.942077883825051,0.904279310425489,56.3217817128615,56.3217817128615
"1",1,0.0469631470497632,0.0432322429122051,0.0120783442097681,0.920556769042655,3.57931866830239,0.958752093424102,55.3797038290364,60.1589230467875
"5",5,0.0214388257849361,0.0188088076725623,0.00433892698179821,0.87732452613045,4.3348984095527,0.984405262518657,51.800385160734,59.0435849197174
"10",10,0.0122701041355671,0.0105340772674995,0.00246855978018595,0.858515718457887,4.26729680684744,0.985576299868621,47.4654867511813,55.287848237003
"15",15,0.0167857449966448,0.0142340035908582,0.00338441778681613,0.847981641190388,4.20574659733388,0.979752269131596,43.1981899443339,50.9423646055505
"20",20,0.0240622450247232,0.020061839944704,0.00486868168250876,0.83374763759953,4.12058977213036,0.975475877388343,38.992443347,46.7676807568108
"25",25,0.0250368268115851,0.0203721103949304,0.00506827424447342,0.813685797654826,4.01953592332629,0.974108141126878,34.8718535748696,42.8566575395269
"30",30,0.026841930382286,0.0212940707647448,0.00543845582978694,0.793313687259895,3.91546266646409,0.971559783550377,30.8523176515433,38.8904391125624
"35",35,0.0302194511156102,0.0233300090609673,0.00613284926564162,0.77201961649515,3.80410606072943,0.966742590889365,26.9368549850793,34.8914126137991
"40",40,0.0366510853037313,0.0274402866680874,0.00746148336309825,0.748689607434183,3.67759134916751,0.95925242999496,23.1327489243498,30.8976492990567
"45",45,0.0453542689473624,0.0327117356721279,0.00927272138936065,0.721249320766096,3.52773843821737,0.946835858037952,19.4551575751823,26.9742473442019
"50",50,0.0620267969666229,0.0427077809945123,0.0127860362944001,0.688537585093968,3.34018925108301,0.929079374931095,15.9274191369649,23.1322435866609
"55",55,0.0811927526872417,0.0524366995622968,0.0168970720371529,0.645829804099455,3.10330094154776,0.901905824932171,12.5872298858819,19.490010844937
"60",60,0.118022048187232,0.0700334695776555,0.0250219157560532,0.593393104537159,2.79888519569942,0.857045236221923,9.48392894433417,15.9825398573372
"65",65,0.17357961311197,0.0908445629546925,0.0378712909580147,0.523359634959503,2.39877122370625,0.789726943698868,6.68504374863475,12.7733269860447
"70",70,0.258373551826514,0.111750455372383,0.0589906954034311,0.432515072004811,1.89437426713033,0.687095120437758,4.28627252492849,9.91011135186711
"75",75,0.376859232301596,0.120883107173612,0.0928716078854893,0.320764616632427,1.30161531522811,0.556512777831356,2.39189825779816,7.456864422609
"80",80,0.526386363618447,0.105214900918592,0.145251110063576,0.199881509458815,0.724365554745429,0.399350037338921,1.09028294257006,5.45464633283003
"85",85,0.696384871448201,0.0659243940187205,0.227894910647844,0.0946666085402232,0.289275411334615,0.238273586287985,0.365917387824628,3.86532689263027
"90",90,0.850603431018829,0.0244482262870694,0.354698976539932,0.0287422145215027,0.0689266896836309,0.100666594987758,0.0766419764900123,2.6665299722356
"95",95,1,0.00429398823443329,0.574876994842069,0.00429398823443329,0.00746940349493885,0,0.00771528680638134,1.79676477557922
