"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.0413258368676281,0.0413258368676281,0.042786396314914,1,0.965863929354183,0.956058748805262,74.9986555755674,74.9986555755674
"1",1,0.00793193440413071,0.00760414057690088,0.00199351959437075,0.958674163132372,3.81442981467213,0.994060595011852,74.0327916462133,77.2241440244082
"5",5,0.00131850315093562,0.0012539888214998,0.000263891998524482,0.951070022555471,4.75190164351823,0.998905433159258,70.2183618315411,73.8309064172461
"10",10,0.00104397370848985,0.000991582967120371,0.000208899422740398,0.949816033733971,4.74670036954877,0.998723488353303,65.4664601880229,68.9254106720618
"15",15,0.00152869101505224,0.00145045941274916,0.000305962709784234,0.948824450766851,4.74064115124366,0.998118170334752,60.7197598184741,63.9947250193645
"20",20,0.00226498225821927,0.00214578528231542,0.00045348948154625,0.947373991354102,4.73172007209295,0.997482294591552,55.9791186672305,59.0887222766358
"25",25,0.00279211034350515,0.00263918145114585,0.000559171477564854,0.945228206071786,4.71980699487618,0.996876216779765,51.2473985951375,54.2169586835684
"30",30,0.00348410155189916,0.00328407588348389,0.000697987603031478,0.94258902462064,4.70506334098284,0.996068356141525,46.5275916002614,49.3614824541237
"35",35,0.00441817648634877,0.00415001503802155,0.000885513227054454,0.939304948737156,4.68656470759453,0.994503232960761,41.8225282592785,44.5249738282616
"40",40,0.00667042556872171,0.00623788138046296,0.00133837031353305,0.935154933699135,4.66080375318256,0.991870717464115,37.135963551684,39.7110277810197
"45",45,0.00972032383957267,0.00902937456863876,0.00195317781794977,0.928917052318672,4.62291476262863,0.987468802759303,32.4751597985014,34.9602364575396
"50",50,0.0156062001156678,0.014355951182904,0.0031447976268558,0.919887677750033,4.5649841059112,0.98084956879542,27.8522450358728,30.2778759945964
"55",55,0.0230508861648886,0.0208733087477939,0.00466175689417581,0.905531726567129,4.47756269184094,0.969598003700088,23.2872609299616,25.7166703791192
"60",60,0.0385536006501259,0.0341067673523789,0.00785610303844621,0.884658417819335,4.34143584745097,0.947091250401731,18.8096982381207,21.2621028175894
"65",65,0.0690837660848921,0.0587593112639781,0.0142906335954652,0.850551650466956,4.11173590530123,0.901212363116812,14.4682623906697,17.0104453770991
"70",70,0.133354864515997,0.105589360119218,0.0284949438007721,0.791792339202978,3.70554723172877,0.810193193649402,10.3565264853685,13.0798518406902
"75",75,0.249958547308161,0.171522299810309,0.0571320289410711,0.686202979083761,3.00220914589303,0.692087268772456,6.65097925363968,9.69243715980405
"80",80,0.387802007763592,0.199594200779374,0.0960607813305968,0.514680679273452,2.0777907280648,0.533380639994179,3.64877010774665,7.08938620524367
"85",85,0.56532132953081,0.178125106939453,0.160725981303114,0.315086478494078,1.10825334830917,0.35109082863766,1.57097937968185,4.98586733137577
"90",90,0.756973423384543,0.103676118297147,0.266452740704001,0.136961371554625,0.389097586398329,0.159118873766262,0.462726031372682,3.37851487700773
"95",95,1,0.033285253257478,0.479691173048197,0.033285253257478,0.0693889217222133,0,0.0736284449743532,2.21204400653949
