"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.21845495954,0.21845495954,0.255911383924037,1,0.8536351771082,0.712642663547779,33.9625023773598,33.9625023773598
"1",1,0.19838082625,0.155043550878045,0.0572205497797365,0.78154504046,2.70957814063069,0.857274169305685,33.1088672002516,42.3633514208784
"5",5,0.04518988654,0.0283115312313495,0.00926833660169481,0.626501489581955,3.05465073702357,0.968588951104928,30.3992890596209,48.5222933466693
"10",10,0.02246279097,0.0134370159947827,0.00454152555684884,0.598189958350606,2.95870095336555,0.972208696960975,27.3446383225974,45.7122991465704
"15",15,0.0336965051,0.019704130504333,0.00685009669270783,0.584752942355823,2.87647479856872,0.95822505198258,24.3859373692318,41.7029750564178
"20",20,0.05083177803,0.0287224357801502,0.0104206107283097,0.56504881185149,2.75631021338509,0.949209706978053,21.5094625706631,38.0665565868252
"25",25,0.0507429441,0.0272147793203436,0.0104019449698248,0.53632637607134,2.61631640998788,0.948822016260128,18.753152357278,34.9659334203312
"30",30,0.05167446985,0.0263080718565947,0.0105977580641915,0.509111596750996,2.48241861129915,0.945834273635106,16.1368359472901,31.6960683085413
"35",35,0.05701164914,0.0275254251648349,0.011723140503128,0.482803524894402,2.3479566040764,0.937626893592113,13.654417335991,28.2815195663235
"40",40,0.06853250951,0.0312013506994113,0.0141727221659788,0.455278099729567,2.20150725696925,0.925402032982755,11.3064607319146,24.8341853882947
"45",45,0.0816523327,0.0346268558021447,0.0169966169838761,0.424076749030155,2.03727929122563,0.90756458311562,9.10495347494532,21.4700605392018
"50",50,0.10515573507,0.0409528897953245,0.0221491182849132,0.389449893228011,1.84896253063128,0.879193777151483,7.06767418371969,18.1478395722188
"55",55,0.13975331315,0.0487036108525648,0.0299604577846713,0.348497003432686,1.62559635111728,0.83294905233156,5.21871165308842,14.9749111231495
"60",60,0.20142764199,0.0603866761515962,0.0445974442548132,0.299793392580121,1.35403894013678,0.76301052834823,3.59311530197114,11.9853051831716
"65",65,0.28523220768,0.068286506260328,0.0660957003498997,0.239406716428525,1.03314596711784,0.663744805809648,2.23907636183437,9.35260461877159
"70",70,0.41358786453,0.0707732423013895,0.103206315038545,0.171120210168197,0.685745269317652,0.521631445269898,1.20593039471653,7.04727041610804
"75",75,0.57412215426,0.0576114173651507,0.161057879109425,0.100346967866808,0.357706295921162,0.358788541466326,0.520185125398875,5.18386490849754
"80",80,0.706217268297447,0.0301805837344679,0.235159477511321,0.0427355505016571,0.128340920186876,0.236605320916095,0.162478829477713,3.80195943588962
"85",85,0.842773251972991,0.0105809901707969,0.348446940089641,0.0125549667671892,0.0303661446074827,0.118947957617214,0.0341379092908369,2.7190760377042
"90",90,0.938840620893909,0.00185324941338702,0.51308252818162,0.00197397659639233,0.00361199088176905,0.0423604903800706,0.00377176468335416,1.91074437774363
"95",95,1,0.000120727183005309,0.763296920968513,0.000120727183005309,0.000158165426439981,0,0.000159773801585114,1.32342855691487
