"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.33399320224,0.33399320224,0.426607890221313,1,0.782904418544,0.605864689801372,22.4999870154542,22.4999870154542
"1",1,0.23760245552,0.158244850540788,0.0704431579304163,0.66600679776,2.24641903046286,0.807395352661991,21.7170825969102,32.6078993036586
"5",5,0.06656523856,0.033799295148337,0.0138189724715734,0.507761947219212,2.44586167443813,0.944702146736645,19.4706635664473,38.3460471448866
"10",10,0.0520456672,0.0246677024549102,0.0106758363319099,0.473962652070875,2.31061077446259,0.940770230861875,17.0248018920092,35.9201338283156
"15",15,0.06743984512,0.0303003818152989,0.0139391965056504,0.449294949615965,2.17375383172311,0.924968689232368,14.7141911175466,32.7495137217179
"20",20,0.08385013896,0.035132752733571,0.0174732940983532,0.418994567800666,2.01065423244276,0.911640796068226,12.5404372858235,29.9298326268266
"25",25,0.09369110496,0.0359644376055873,0.0196205930107928,0.383861815067095,1.83299442508207,0.900893810316292,10.5297830533807,27.431181326385
"30",30,0.10557897376,0.0367306480861813,0.0222430246980505,0.347897377461508,1.6513333319007,0.890109900872056,8.69678862829868,24.9981436817842
"35",35,0.1151117852,0.0358189577132391,0.0243688236615547,0.311166729375326,1.46986814836486,0.88167020550169,7.04545529639797,22.642058521301
"40",40,0.12226947488,0.0336666274505016,0.0259785597056046,0.275347771662087,1.29593895242923,0.874416646234749,5.57558714803311,20.2492546584891
"45",45,0.12967348776,0.0313396368957438,0.0276561040154581,0.241681144211586,1.13319059250814,0.854509939615711,4.27964819560388,17.7078282609303
"50",50,0.16517763752,0.0347437132508265,0.0358803072052765,0.210341507315842,0.968322624777226,0.817179629997664,3.14645760309574,14.958805055871
"55",55,0.20571501328,0.0361231025380233,0.0456506990538056,0.175597794065015,0.79129352423382,0.7580199755957,2.17813497831851,12.404113559149
"60",60,0.29144224016,0.0406488165442515,0.0677687763480538,0.139474691526992,0.599816297928756,0.677025750171564,1.38684145408469,9.94331974425842
"65",65,0.3711844016,0.0366826232680649,0.0903310246362503,0.0988258749827405,0.406091079070347,0.582028474046081,0.787025156155936,7.96375601322414
"70",70,0.49857711448,0.0309832031243072,0.131086700840953,0.0621432517146755,0.23635657107504,0.449160225974056,0.380934077085589,6.12993473264981
"75",75,0.63720403944,0.0198553088309294,0.187028449711037,0.0311600485903683,0.106161970874518,0.298746354431639,0.144577506010549,4.63983570472476
"80",80,0.756005064305623,0.00854644050879296,0.269472025654991,0.0113047397594389,0.0317155017780402,0.193295099379458,0.0384155351360311,3.3981795205817
"85",85,0.8791733467044,0.00242502318340266,0.395570106747755,0.00275829925064598,0.00613045106805565,0.0901893592774311,0.0067000333579909,2.42904512859574
"90",90,0.957842051725532,0.000319225832039354,0.57736479038371,0.000333276067243316,0.000552901453909582,0.0292860861730289,0.000569582289935257,1.70904048000369
"95",95,1,1.40502352039618e-05,0.847375049847296,1.40502352039618e-05,1.65808932024772e-05,0,1.66808360256751e-05,1.18722824091738
